Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,is_holiday,temperature_2m_max,temperature_2m_min,precipitation_sum,total_spend_x,avg_spend_x,purchase_count_x,total_spend_y,avg_spend_y,purchase_count_y,total_spend,avg_spend,purchase_count
1,2023-11-24,cust001,male,34,beauty,3,50,150,0,9.7,-0.6,0.0,150,150.0,1,150,150.0,1,150,150.0,1
2,2023-02-27,cust002,female,26,clothing,2,500,1000,0,4.8,-2.3,5.3,1000,1000.0,1,1000,1000.0,1,1000,1000.0,1
3,2023-01-13,cust003,male,50,electronics,1,30,30,0,12.6,2.8,1.4,30,30.0,1,30,30.0,1,30,30.0,1
4,2023-05-21,cust004,male,37,clothing,1,500,500,0,21.7,12.9,0.6,500,500.0,1,500,500.0,1,500,500.0,1
5,2023-05-06,cust005,male,30,beauty,2,50,100,0,20.9,6.5,0.0,100,100.0,1,100,100.0,1,100,100.0,1
6,2023-04-25,cust006,female,45,beauty,1,30,30,0,15.1,5.4,0.3,30,30.0,1,30,30.0,1,30,30.0,1
7,2023-03-13,cust007,male,46,clothing,2,25,50,0,5.8,3.3,18.8,50,50.0,1,50,50.0,1,50,50.0,1
8,2023-02-22,cust008,male,30,electronics,4,25,100,0,5.5,-0.9,4.4,100,100.0,1,100,100.0,1,100,100.0,1
9,2023-12-13,cust009,male,63,electronics,2,300,600,0,7.4,-0.4,0.0,600,600.0,1,600,600.0,1,600,600.0,1
10,2023-10-07,cust010,female,52,clothing,4,50,200,0,20.5,11.6,59.9,200,200.0,1,200,200.0,1,200,200.0,1
11,2023-02-14,cust011,male,23,clothing,2,50,100,0,11.3,2.4,0.0,100,100.0,1,100,100.0,1,100,100.0,1
12,2023-10-30,cust012,male,35,beauty,3,25,75,0,19.0,10.1,1.3,75,75.0,1,75,75.0,1,75,75.0,1
13,2023-08-05,cust013,male,22,electronics,3,500,1500,0,30.6,18.2,0.2,1500,1500.0,1,1500,1500.0,1,1500,1500.0,1
14,2023-01-17,cust014,male,64,clothing,4,30,120,0,7.3,-2.1,1.4,120,120.0,1,120,120.0,1,120,120.0,1
15,2023-01-16,cust015,female,42,electronics,4,500,2000,1,8.1,-2.5,0.0,2000,2000.0,1,2000,2000.0,1,2000,2000.0,1
16,2023-02-17,cust016,male,19,clothing,3,500,1500,0,15.3,-1.1,8.1,1500,1500.0,1,1500,1500.0,1,1500,1500.0,1
17,2023-04-22,cust017,female,27,clothing,4,25,100,0,19.6,9.8,18.2,100,100.0,1,100,100.0,1,100,100.0,1
18,2023-04-30,cust018,female,47,electronics,2,25,50,0,14.8,10.4,22.4,50,50.0,1,50,50.0,1,50,50.0,1
19,2023-09-16,cust019,female,62,clothing,2,25,50,0,24.3,15.1,0.0,50,50.0,1,50,50.0,1,50,50.0,1
20,2023-11-05,cust020,male,22,clothing,3,300,900,0,16.9,4.4,0.0,900,900.0,1,900,900.0,1,900,900.0,1
21,2023-01-14,cust021,female,50,beauty,1,500,500,0,2.5,-1.3,0.0,500,500.0,1,500,500.0,1,500,500.0,1
22,2023-10-15,cust022,male,18,clothing,2,50,100,0,16.5,8.9,0.9,100,100.0,1,100,100.0,1,100,100.0,1
23,2023-04-12,cust023,female,35,clothing,4,30,120,0,27.4,15.4,0.0,120,120.0,1,120,120.0,1,120,120.0,1
24,2023-11-29,cust024,female,49,clothing,1,300,300,0,2.5,-4.5,0.0,300,300.0,1,300,300.0,1,300,300.0,1
25,2023-12-26,cust025,female,64,beauty,1,50,50,0,7.6,2.9,0.0,50,50.0,1,50,50.0,1,50,50.0,1
26,2023-10-07,cust026,female,28,electronics,2,500,1000,0,20.5,11.6,59.9,1000,1000.0,1,1000,1000.0,1,1000,1000.0,1
27,2023-08-03,cust027,female,38,beauty,2,25,50,0,26.2,15.5,0.9,50,50.0,1,50,50.0,1,50,50.0,1
28,2023-04-23,cust028,female,43,beauty,1,500,500,0,19.1,9.9,15.9,500,500.0,1,500,500.0,1,500,500.0,1
29,2023-08-18,cust029,female,42,electronics,1,30,30,0,26.8,18.5,3.1,30,30.0,1,30,30.0,1,30,30.0,1
30,2023-10-29,cust030,female,39,beauty,3,300,900,0,15.0,10.5,7.6,900,900.0,1,900,900.0,1,900,900.0,1
31,2023-05-23,cust031,male,44,electronics,4,300,1200,0,19.3,10.7,0.0,1200,1200.0,1,1200,1200.0,1,1200,1200.0,1
